keypoints
"(1462.8572998046875, 3992.746337890625)"
"(326.8111572265625, 3991.658935546875)"
"(1081.15966796875, 3992.3583984375)"
"(671.9461669921875, 3993.482177734375)"
"(895.9769897460938, 3984.63330078125)"
"(872.6612548828125, 3988.153076171875)"
"(639.6154174804688, 3995.0107421875)"
"(1051.7064208984375, 3985.67919921875)"
"(1622.73583984375, 3982.62939453125)"
"(1598.102783203125, 3981.696044921875)"
"(590.1577758789062, 3985.2666015625)"
"(5274.8232421875, 3977.848876953125)"
"(1509.0863037109375, 3976.009033203125)"
"(821.6995849609375, 3976.13330078125)"
"(565.0001831054688, 3975.2744140625)"
"(1640.8350830078125, 3968.442626953125)"
"(1603.514404296875, 3964.01708984375)"
"(259.13201904296875, 3966.586669921875)"
"(5318.1142578125, 3964.541259765625)"
"(772.3578491210938, 3966.274169921875)"
"(5394.93896484375, 3966.273193359375)"
"(5194.7294921875, 3964.518310546875)"
"(1313.0645751953125, 3964.5615234375)"
"(750.9332885742188, 3961.870849609375)"
"(5357.61962890625, 3961.640869140625)"
"(1184.21533203125, 3966.14404296875)"
"(5602.8134765625, 3958.05859375)"
"(5156.68798828125, 3960.26904296875)"
"(1135.9307861328125, 3961.840087890625)"
"(927.039794921875, 3960.10107421875)"
"(903.2377319335938, 3957.1162109375)"
"(5118.81005859375, 3951.0166015625)"
"(5683.9970703125, 3954.643798828125)"
"(1112.2335205078125, 3953.96728515625)"
"(725.5197143554688, 3954.787109375)"
"(1289.6917724609375, 3954.186767578125)"
"(878.4749755859375, 3950.09814453125)"
"(1437.075927734375, 3934.6494140625)"
"(537.5145874023438, 3951.129638671875)"
"(5344.7578125, 3949.31103515625)"
"(5447.41748046875, 3943.8515625)"
"(1089.1580810546875, 3951.567626953125)"
"(555.171875, 3946.656005859375)"
"(304.7016296386719, 3946.895751953125)"
"(5616.8671875, 3945.692626953125)"
"(1094.6392822265625, 3941.88330078125)"
"(855.7732543945312, 3949.26513671875)"
"(645.3969116210938, 3947.1748046875)"
"(444.11578369140625, 3945.721435546875)"
"(5238.84033203125, 3947.344970703125)"
"(918.9327392578125, 3943.4462890625)"
"(1346.6015625, 3945.498046875)"
"(1299.3154296875, 3941.953125)"
"(597.5123291015625, 3940.922119140625)"
"(232.10704040527344, 3943.07470703125)"
"(832.5526123046875, 3938.879150390625)"
"(620.1680297851562, 3935.194580078125)"
"(1608.4122314453125, 3937.773681640625)"
"(5194.185546875, 3937.823974609375)"
"(4503.6435546875, 3936.1181640625)"
"(1041.3809814453125, 3936.829345703125)"
"(1394.586181640625, 3937.302978515625)"
"(1372.41015625, 3931.426513671875)"
"(794.0565185546875, 3936.046630859375)"
"(573.2607421875, 3928.845947265625)"
"(1322.2398681640625, 3935.04443359375)"
"(389.6512145996094, 3936.67919921875)"
"(1011.4121704101562, 3936.271484375)"
"(5523.421875, 3931.88623046875)"
"(986.3076171875, 3929.7919921875)"
"(547.9402465820312, 3929.777099609375)"
"(1306.822265625, 3927.1376953125)"
"(5303.279296875, 3919.26806640625)"
"(1334.4671630859375, 3927.464599609375)"
"(5003.162109375, 3927.74951171875)"
"(5485.15283203125, 3928.447021484375)"
"(1194.458740234375, 3930.891845703125)"
"(781.4591064453125, 3927.136474609375)"
"(5683.48046875, 3929.2666015625)"
"(1168.58349609375, 3927.322265625)"
"(5651.00927734375, 3926.153564453125)"
"(963.718994140625, 3925.273681640625)"
"(730.963623046875, 3923.7138671875)"
"(1684.7421875, 3921.9453125)"
"(5079.02685546875, 3921.20556640625)"
