keypoints
"(1129.67529296875, 3989.70263671875)"
"(929.869140625, 3989.30517578125)"
"(376.9454345703125, 3987.943603515625)"
"(730.9912109375, 3989.317138671875)"
"(553.45751953125, 3987.000732421875)"
"(3071.644287109375, 3983.5390625)"
"(907.0409545898438, 3983.71337890625)"
"(525.4700927734375, 3983.823974609375)"
"(702.4165649414062, 3982.303955078125)"
"(1082.6265869140625, 3976.99755859375)"
"(478.423095703125, 3973.866455078125)"
"(1054.00146484375, 3972.4306640625)"
"(878.9328002929688, 3976.964599609375)"
"(681.12109375, 3974.6904296875)"
"(1027.05029296875, 3968.427978515625)"
"(1006.3590698242188, 3966.966796875)"
"(453.04315185546875, 3967.2783203125)"
"(2583.78466796875, 3963.672607421875)"
"(1187.5941162109375, 3963.130615234375)"
"(980.1646118164062, 3961.059326171875)"
"(426.8100891113281, 3963.72607421875)"
"(1135.336669921875, 3958.628173828125)"
"(2558.517822265625, 3948.124755859375)"
"(917.0231323242188, 3948.80224609375)"
"(359.1496887207031, 3945.876708984375)"
"(888.097412109375, 3945.107421875)"
"(1082.5809326171875, 3940.84814453125)"
"(2464.242431640625, 3939.10595703125)"
"(534.7474975585938, 3942.541748046875)"
"(2842.654296875, 3930.79833984375)"
"(1242.5098876953125, 3929.211669921875)"
"(663.5313110351562, 3929.821533203125)"
"(2599.03271484375, 3925.2890625)"
"(1212.21826171875, 3926.20947265625)"
"(1189.1201171875, 3924.56103515625)"
"(1161.0015869140625, 3919.738037109375)"
"(434.5560607910156, 3923.89697265625)"
"(3081.65478515625, 3920.339599609375)"
"(967.6136474609375, 3919.96826171875)"
"(1139.926025390625, 3911.847412109375)"
"(740.5213012695312, 3913.475341796875)"
"(940.7391967773438, 3914.674560546875)"
"(561.451171875, 3910.93896484375)"
"(891.9751586914062, 3904.348876953125)"
"(538.5907592773438, 3904.654541015625)"
"(688.461669921875, 3902.726806640625)"
"(2527.638671875, 3898.839111328125)"
"(2604.477294921875, 3898.001220703125)"
"(1069.8089599609375, 3896.213623046875)"
"(671.93212890625, 3894.927734375)"
"(493.12396240234375, 3894.458740234375)"
"(844.8648681640625, 3896.45849609375)"
"(3087.116943359375, 3889.3486328125)"
"(468.1988525390625, 3887.978271484375)"
"(1222.9178466796875, 3887.4599609375)"
"(2769.748046875, 3884.965576171875)"
"(793.0731811523438, 3885.037109375)"
"(439.9034729003906, 3882.70654296875)"
"(819.5479125976562, 3886.25732421875)"
"(772.703857421875, 3878.713623046875)"
"(596.992431640625, 3877.9794921875)"
"(947.384033203125, 3876.375732421875)"
"(972.829345703125, 3873.99560546875)"
"(749.4699096679688, 3872.121826171875)"
"(569.4063110351562, 3870.35302734375)"
"(545.3662719726562, 3866.7314453125)"
"(374.5576171875, 3867.38037109375)"
"(725.7106323242188, 3866.165771484375)"
"(1092.816650390625, 3861.45849609375)"
"(901.8818359375, 3859.948486328125)"
"(522.3563842773438, 3862.26416015625)"
"(849.4367065429688, 3858.060791015625)"
"(497.09014892578125, 3858.967041015625)"
"(3094.951416015625, 3858.37255859375)"
"(675.4679565429688, 3857.5849609375)"
"(325.7334289550781, 3858.996337890625)"
"(1071.1204833984375, 3856.3095703125)"
"(1258.6654052734375, 3851.6220703125)"
"(471.7747802734375, 3854.452392578125)"
"(658.1868896484375, 3849.7880859375)"
"(830.6375122070312, 3847.648681640625)"
"(999.7636108398438, 3847.072265625)"
"(273.6256408691406, 3845.56396484375)"
"(1208.6885986328125, 3846.08544921875)"
"(931.5173950195312, 3837.633544921875)"
"(1183.6671142578125, 3840.75537109375)"
"(804.7781372070312, 3836.026123046875)"
"(1362.053955078125, 3828.526123046875)"
"(904.8715209960938, 3827.316650390625)"
"(383.9046936035156, 3829.966552734375)"
"(575.132080078125, 3830.977294921875)"
"(553.959716796875, 3827.783203125)"
"(3099.14794921875, 3829.63916015625)"
"(2540.909423828125, 3820.400146484375)"
"(708.4343872070312, 3822.090576171875)"
"(1263.906982421875, 3814.001708984375)"
"(1212.02685546875, 3810.644287109375)"
"(130.56285095214844, 3809.93798828125)"
"(481.63214111328125, 3808.692626953125)"
"(433.2702331542969, 3804.575439453125)"
"(2625.62548828125, 3802.071533203125)"
"(2554.12841796875, 3803.3125)"
"(1187.3204345703125, 3806.025634765625)"
"(2818.124755859375, 3799.415283203125)"
"(785.0188598632812, 3802.52294921875)"
"(1392.1124267578125, 3795.0419921875)"
"(386.8586730957031, 3794.687255859375)"
"(188.37045288085938, 3791.152099609375)"
"(560.69970703125, 3788.609375)"
"(708.8353881835938, 3787.577392578125)"
"(1321.9517822265625, 3783.66015625)"
"(687.480712890625, 3778.021240234375)"
"(533.4027099609375, 3780.512451171875)"
"(312.6336669921875, 3774.57861328125)"
"(3107.15478515625, 3773.0)"
"(662.7067260742188, 3774.708740234375)"
"(462.03338623046875, 3771.933349609375)"
"(838.7467041015625, 3771.080322265625)"
"(2472.35986328125, 3768.2568359375)"
"(641.0228881835938, 3768.66259765625)"
"(115.92667388916016, 3769.464111328125)"
"(1192.4747314453125, 3765.327880859375)"
"(1168.202880859375, 3762.947509765625)"
"(814.9872436523438, 3764.490234375)"
"(436.6871032714844, 3764.557373046875)"
"(967.2796630859375, 3759.634033203125)"
"(411.7458801269531, 3759.1083984375)"
"(791.2122802734375, 3759.34765625)"
"(769.4541625976562, 3756.427978515625)"
"(390.27899169921875, 3756.686767578125)"
"(1376.5023193359375, 3754.36328125)"
"(920.67822265625, 3749.021728515625)"
"(1336.9271240234375, 3746.523193359375)"
"(3107.731689453125, 3747.10107421875)"
"(2827.763427734375, 3746.271484375)"
"(723.26318359375, 3741.8212890625)"
"(1098.5694580078125, 3739.43408203125)"
"(515.614501953125, 3741.558349609375)"
"(2952.701416015625, 3737.899169921875)"
"(497.1069030761719, 3737.06689453125)"
"(1277.0401611328125, 3738.312255859375)"
"(870.2576293945312, 3735.10498046875)"
"(1226.4248046875, 3732.843505859375)"
"(674.7168579101562, 3730.68896484375)"
"(2754.446044921875, 3731.919189453125)"
"(850.586669921875, 3731.20849609375)"
"(996.2113647460938, 3728.023681640625)"
"(648.5519409179688, 3727.056884765625)"
"(469.13006591796875, 3726.496337890625)"
"(1177.4432373046875, 3722.017822265625)"
"(1160.8680419921875, 3719.7021484375)"
"(952.500244140625, 3717.08056640625)"
"(1362.902099609375, 3718.971435546875)"
"(776.1458740234375, 3717.7802734375)"
"(599.7894897460938, 3716.1435546875)"
"(223.26971435546875, 3712.162109375)"
"(3114.710205078125, 3714.195068359375)"
"(2736.4853515625, 3712.68798828125)"
"(1131.7529296875, 3713.62744140625)"
"(725.366455078125, 3704.21630859375)"
"(929.664306640625, 3707.415283203125)"
"(553.2088623046875, 3707.355224609375)"
"(2915.2646484375, 3701.779296875)"
"(1260.1141357421875, 3702.85546875)"
"(705.4934692382812, 3698.755615234375)"
"(2565.76953125, 3697.3759765625)"
"(2879.978515625, 3697.21875)"
"(677.1497802734375, 3695.714599609375)"
"(527.5680541992188, 3697.913818359375)"
"(503.57843017578125, 3694.195556640625)"
"(1033.67431640625, 3693.249267578125)"
"(882.4432373046875, 3695.3515625)"
"(1822.877685546875, 3693.686279296875)"
"(857.3776245117188, 3690.28955078125)"
"(1005.6204223632812, 3685.96484375)"
"(456.7542724609375, 3687.55322265625)"
"(3116.41845703125, 3684.116455078125)"
"(1412.263916015625, 3686.99658203125)"
"(1178.9881591796875, 3684.136962890625)"
"(633.3173217773438, 3685.92333984375)"
"(431.66558837890625, 3684.057861328125)"
"(975.1826171875, 3683.40966796875)"
"(938.6328125, 3687.05224609375)"
"(411.48663330078125, 3678.842041015625)"
"(1135.7081298828125, 3673.9267578125)"
"(608.675537109375, 3681.031494140625)"
"(589.9130249023438, 3675.719970703125)"
"(1390.2889404296875, 3678.947265625)"
"(784.12744140625, 3676.385986328125)"
"(228.4645538330078, 3675.12841796875)"
"(1343.507568359375, 3673.663330078125)"
"(2569.754638671875, 3673.506591796875)"
"(759.0751953125, 3672.30859375)"
"(1116.9912109375, 3670.903564453125)"
"(737.709716796875, 3666.501220703125)"
"(1291.589111328125, 3663.71630859375)"
"(536.476318359375, 3661.49365234375)"
"(508.18951416015625, 3657.410400390625)"
"(1269.777099609375, 3655.5712890625)"
"(891.0715942382812, 3657.89013671875)"
"(841.8427734375, 3652.6806640625)"
"(462.78594970703125, 3649.43798828125)"
"(1218.529296875, 3652.61083984375)"
"(306.99053955078125, 3651.791748046875)"
"(3040.163818359375, 3649.33544921875)"
"(1422.00439453125, 3650.333984375)"
"(643.7869262695312, 3645.3896484375)"
"(1396.3397216796875, 3644.7470703125)"
"(2617.29296875, 3642.73974609375)"
"(794.52587890625, 3639.751708984375)"
"(1194.7877197265625, 3642.681396484375)"
"(417.75750732421875, 3636.576904296875)"
"(616.9129638671875, 3635.400634765625)"
"(719.6876220703125, 3625.30126953125)"
"(572.0643310546875, 3629.944580078125)"
"(3125.884521484375, 3628.602783203125)"
"(2854.3896484375, 3629.763671875)"
"(1299.610595703125, 3625.428466796875)"
"(900.8541870117188, 3623.5947265625)"
"(1098.000244140625, 3628.367431640625)"
"(1274.6058349609375, 3620.962890625)"
"(1073.8370361328125, 3622.73046875)"
"(874.1109008789062, 3620.004638671875)"
"(1225.4630126953125, 3617.843994140625)"
"(1050.8472900390625, 3619.00390625)"
"(1200.6025390625, 3612.28759765625)"
"(855.3088989257812, 3615.8583984375)"
"(672.1390991210938, 3614.81396484375)"
"(491.5172119140625, 3613.5224609375)"
"(650.4423828125, 3608.320068359375)"
"(5856.74755859375, 3607.12646484375)"
"(799.1705932617188, 3603.703857421875)"
"(452.7105712890625, 3604.556640625)"
"(1152.7410888671875, 3604.95849609375)"
"(626.4569702148438, 3601.56005859375)"
"(603.8248291015625, 3596.8203125)"
"(5791.62255859375, 3595.182861328125)"
"(1360.074951171875, 3593.97705078125)"
"(426.1358642578125, 3593.427978515625)"
"(5994.685546875, 3595.4716796875)"
"(1125.9544677734375, 3593.922119140625)"
"(1331.0914306640625, 3591.060546875)"
"(580.3125610351562, 3592.39501953125)"
"(2822.903564453125, 3590.343017578125)"
"(1104.43798828125, 3591.1279296875)"
"(731.2276611328125, 3588.156982421875)"
"(371.62127685546875, 3588.14697265625)"
"(1281.6494140625, 3584.628662109375)"
"(1260.05322265625, 3579.6767578125)"
"(529.5142211914062, 3583.244140625)"
"(172.74807739257812, 3579.307861328125)"
"(5930.51416015625, 3579.569091796875)"
"(505.5905456542969, 3575.88427734375)"
"(1233.0426025390625, 3575.680419921875)"
"(1007.02685546875, 3574.589111328125)"
"(1207.1663818359375, 3571.79833984375)"
"(1436.8743896484375, 3570.1669921875)"
"(1408.5880126953125, 3567.69775390625)"
"(473.4837646484375, 3568.35302734375)"
"(609.133544921875, 3563.3251953125)"
"(458.32586669921875, 3565.114990234375)"
"(804.9298095703125, 3559.989990234375)"
"(585.0877685546875, 3560.830322265625)"
"(230.61436462402344, 3559.4287109375)"
"(963.8856811523438, 3559.180419921875)"
"(1364.5849609375, 3557.949462890625)"
"(759.4982299804688, 3555.27978515625)"
"(433.0388488769531, 3560.50634765625)"
"(1342.6527099609375, 3551.115478515625)"
"(31.907304763793945, 3550.2265625)"
"(1107.7625732421875, 3551.061767578125)"
"(1288.339111328125, 3545.746826171875)"
"(889.3934326171875, 3547.33544921875)"
"(562.1360473632812, 3548.191162109375)"
"(1316.650390625, 3547.75146484375)"
"(1262.3916015625, 3543.8466796875)"
"(1063.249267578125, 3543.614990234375)"
"(537.579345703125, 3544.0498046875)"
"(366.0321044921875, 3541.592041015625)"
"(869.6297607421875, 3541.588134765625)"
"(5425.63916015625, 3539.714599609375)"
"(1240.2357177734375, 3539.346435546875)"
"(491.44805908203125, 3534.44140625)"
"(662.7608032226562, 3534.07568359375)"
"(3033.819091796875, 3532.0068359375)"
"(1442.7232666015625, 3534.0712890625)"
"(1212.7725830078125, 3532.3544921875)"
"(1395.4632568359375, 3526.413330078125)"
"(639.6560668945312, 3526.340576171875)"
"(1192.340087890625, 3525.2431640625)"
"(793.671142578125, 3522.953369140625)"
"(1377.5400390625, 3522.70068359375)"
"(88.45047760009766, 3520.564697265625)"
"(768.4550170898438, 3518.6455078125)"
"(1346.8599853515625, 3516.318115234375)"
"(1320.14990234375, 3516.15478515625)"
"(1148.1649169921875, 3517.533203125)"
"(911.6630859375, 3513.513916015625)"
"(2997.250732421875, 3507.509033203125)"
"(1097.749267578125, 3510.22607421875)"
"(894.969482421875, 3511.31103515625)"
"(5613.666015625, 3510.156494140625)"
"(1073.4388427734375, 3506.46337890625)"
"(693.037841796875, 3503.129638671875)"
"(874.1085815429688, 3501.4052734375)"
"(1221.0418701171875, 3500.974365234375)"
"(847.06982421875, 3497.859619140625)"
"(1047.6273193359375, 3498.622314453125)"
"(671.2566528320312, 3495.808837890625)"
"(823.9722900390625, 3492.382568359375)"
"(518.5377807617188, 3494.998779296875)"
"(476.3689270019531, 3491.235107421875)"
"(120.33963012695312, 3489.131591796875)"
"(1196.7757568359375, 3488.344482421875)"
"(648.435791015625, 3489.69091796875)"
"(799.1594848632812, 3486.64013671875)"
"(1402.6685791015625, 3482.875244140625)"
"(1124.051513671875, 3473.497802734375)"
"(981.313232421875, 3482.75048828125)"
"(776.7935180664062, 3481.7060546875)"
"(229.0747528076172, 3475.395263671875)"
"(394.20697021484375, 3474.879638671875)"
"(726.7551879882812, 3473.573486328125)"
"(50.477752685546875, 3471.32470703125)"
"(553.057373046875, 3469.772705078125)"
"(887.9910278320312, 3466.57958984375)"
"(1082.23583984375, 3467.766845703125)"
"(706.6460571289062, 3464.049072265625)"
"(857.0750732421875, 3457.82421875)"
"(1012.8345336914062, 3454.894287109375)"
"(656.8499145507812, 3452.06396484375)"
"(1407.00390625, 3450.34521484375)"
"(2850.56494140625, 3450.514892578125)"
"(810.2305908203125, 3448.2021484375)"
"(1948.665283203125, 3449.75634765625)"
"(992.68896484375, 3445.465576171875)"
"(1384.912109375, 3443.307861328125)"
"(934.6406860351562, 3437.29736328125)"
"(736.4522094726562, 3434.811279296875)"
"(2484.666748046875, 3429.5556640625)"
"(1114.94873046875, 3428.80908203125)"
"(891.7220458984375, 3433.765869140625)"
"(1310.6019287109375, 3428.045166015625)"
"(1338.6505126953125, 3428.50830078125)"
"(341.3214416503906, 3426.509033203125)"
"(303.2014465332031, 3425.5009765625)"
"(868.10693359375, 3421.2958984375)"
"(1437.3074951171875, 3416.881103515625)"
"(685.5293579101562, 3419.55517578125)"
"(277.22369384765625, 3415.086181640625)"
"(663.9959716796875, 3414.8720703125)"
"(255.36618041992188, 3408.28173828125)"
"(1004.1380004882812, 3406.583740234375)"
"(1388.4283447265625, 3405.125732421875)"
"(819.662109375, 3405.57080078125)"
"(787.340087890625, 3401.249267578125)"
"(764.627197265625, 3399.146240234375)"
"(592.9710693359375, 3398.300048828125)"
"(2586.021484375, 3395.343994140625)"
"(741.4453125, 3393.41259765625)"
"(388.8791198730469, 3396.565185546875)"
"(4898.40380859375, 3395.244873046875)"
"(320.9559326171875, 3390.990234375)"
"(40.72103500366211, 3393.0615234375)"
"(920.9263916015625, 3388.06884765625)"
"(195.26077270507812, 3388.892333984375)"
"(2663.744384765625, 3387.111572265625)"
"(1070.21142578125, 3387.289306640625)"
"(1450.1441650390625, 3383.145263671875)"
"(1271.66259765625, 3385.529541015625)"
"(1048.614013671875, 3383.541748046875)"
"(371.489990234375, 3387.4619140625)"
"(1244.6282958984375, 3382.881591796875)"
"(698.4647216796875, 3383.813232421875)"
"(5120.18798828125, 3385.11962890625)"
"(543.63916015625, 3385.044189453125)"
"(524.0317993164062, 3382.240966796875)"
"(2770.021484375, 3379.343994140625)"
"(300.59912109375, 3378.39599609375)"
"(160.12693786621094, 3381.76806640625)"
"(670.82666015625, 3379.5146484375)"
"(138.57144165039062, 3378.88525390625)"
"(4496.32177734375, 3376.171630859375)"
"(4292.91064453125, 3374.4951171875)"
"(474.06085205078125, 3374.8740234375)"
"(648.9970092773438, 3373.5732421875)"
"(106.5631332397461, 3378.88671875)"
"(5035.55712890625, 3372.05029296875)"
"(2849.063720703125, 3372.389892578125)"
"(823.1919555664062, 3370.348876953125)"
"(1398.757568359375, 3368.7958984375)"
"(626.1431884765625, 3360.30859375)"
"(4495.4033203125, 3364.76806640625)"
"(4930.7666015625, 3364.14453125)"
"(2954.079345703125, 3363.37841796875)"
"(572.35595703125, 3357.826171875)"
"(214.38739013671875, 3358.984130859375)"
"(944.18359375, 3358.750244140625)"
"(4779.2509765625, 3355.6953125)"
"(3031.695068359375, 3355.099365234375)"
"(184.16319274902344, 3353.361083984375)"
"(19.653060913085938, 3356.920654296875)"
"(871.7992553710938, 3345.9755859375)"
"(379.492431640625, 3349.34765625)"
"(3135.695068359375, 3349.2802734375)"
"(1301.130126953125, 3347.524658203125)"
"(165.21861267089844, 3347.069091796875)"
"(1279.2647705078125, 3346.254150390625)"
"(894.6869506835938, 3344.608642578125)"
"(531.7127075195312, 3347.2353515625)"
"(680.4967651367188, 3340.68798828125)"
"(148.4803924560547, 3340.031005859375)"
"(3213.901123046875, 3343.037841796875)"
"(1228.3978271484375, 3340.2529296875)"
"(1031.8656005859375, 3337.695068359375)"
"(4282.43798828125, 3333.9521484375)"
"(305.0602722167969, 3336.572021484375)"
"(1010.995849609375, 3331.621337890625)"
"(3322.011962890625, 3331.3564453125)"
"(1156.331298828125, 3324.46826171875)"
"(931.015380859375, 3323.8271484375)"
"(781.2528076171875, 3324.466796875)"
"(3399.695068359375, 3323.099365234375)"
"(1336.3033447265625, 3318.5458984375)"
"(4170.7666015625, 3316.14453125)"
"(3506.018798828125, 3316.389892578125)"
"(24.010351181030273, 3315.634033203125)"
"(2034.5, 3313.0)"
"(1312.7705078125, 3311.730712890625)"
"(736.0723266601562, 3312.839599609375)"
"(1056.0267333984375, 3307.2763671875)"
"(563.5941162109375, 3309.219482421875)"
"(365.84039306640625, 3310.194091796875)"
"(3583.695068359375, 3307.099365234375)"
"(313.4730529785156, 3302.9287109375)"
"(487.4441833496094, 3296.165771484375)"
"(1167.2412109375, 3293.65966796875)"
"(288.99285888671875, 3291.42578125)"
"(26.7160701751709, 3290.73095703125)"
"(115.06002807617188, 3287.3369140625)"
"(264.76031494140625, 3289.385009765625)"
"(616.21240234375, 3287.493408203125)"
"(912.5094604492188, 3276.387451171875)"
"(742.0339965820312, 3275.48681640625)"
"(568.2102661132812, 3271.642822265625)"
"(196.2135467529297, 3273.49169921875)"
"(10.490876197814941, 3268.518798828125)"
"(865.9210815429688, 3263.7373046875)"
"(520.8121948242188, 3266.640625)"
"(647.1514282226562, 3252.103515625)"
"(89.47056579589844, 3245.57763671875)"
"(1154.8182373046875, 3239.21923828125)"
"(572.0581665039062, 3234.137939453125)"
"(1274.68359375, 3228.381591796875)"
"(528.2002563476562, 3226.14404296875)"
"(1054.5166015625, 3224.563232421875)"
"(307.46270751953125, 3219.783935546875)"
"(657.6336059570312, 3215.593017578125)"
"(133.56649780273438, 3215.28564453125)"
"(458.4866027832031, 3213.594482421875)"
"(1034.25732421875, 3215.92724609375)"
"(774.0636596679688, 3207.823486328125)"
"(1381.87646484375, 3207.163330078125)"
"(904.62255859375, 3203.250732421875)"
"(2082.37890625, 3201.2431640625)"
"(582.4721069335938, 3192.614990234375)"
"(1108.4981689453125, 3189.017822265625)"
"(538.69580078125, 3182.82568359375)"
"(1094.74755859375, 3181.81640625)"
"(293.0728759765625, 3172.30224609375)"
"(646.7949829101562, 3168.19287109375)"
"(741.4736328125, 3153.6865234375)"
"(1047.8721923828125, 3146.133544921875)"
"(1078.9638671875, 3143.21142578125)"
"(322.5657958984375, 3143.890625)"
"(649.02734375, 3135.546875)"
"(1165.3060302734375, 3127.052734375)"
"(1088.563232421875, 3121.6171875)"
"(750.8671264648438, 3118.167236328125)"
"(29.89615249633789, 3115.096923828125)"
"(1045.5186767578125, 3114.0)"
"(1295.4720458984375, 3113.756103515625)"
"(10.75650691986084, 3111.26123046875)"
"(536.4574584960938, 3107.225830078125)"
"(151.94749450683594, 3105.563232421875)"
"(3085.479736328125, 3105.544677734375)"
"(681.0588989257812, 3103.811279296875)"
"(655.7477416992188, 3095.399658203125)"
"(263.6933288574219, 3092.184326171875)"
"(1376.594482421875, 3081.267578125)"
"(1529.93359375, 3084.51806640625)"
"(1352.6058349609375, 3078.37890625)"
"(730.8330688476562, 3077.69482421875)"
"(38.39124298095703, 3076.34033203125)"
"(1500.9654541015625, 3073.6591796875)"
"(537.63525390625, 3071.813232421875)"
"(1301.877197265625, 3068.27294921875)"
"(686.13623046875, 3065.412109375)"
"(122.31267547607422, 3064.04736328125)"
"(854.4848022460938, 3064.8671875)"
"(1454.466064453125, 3064.586669921875)"
"(1430.760986328125, 3060.0166015625)"
"(1233.2587890625, 3057.487548828125)"
"(834.0684204101562, 3058.878662109375)"
"(663.8038330078125, 3057.533935546875)"
"(637.3833618164062, 3052.040771484375)"
"(1356.328369140625, 3043.90283203125)"
"(1334.9033203125, 3040.146728515625)"
"(1153.7454833984375, 3040.214599609375)"
"(1485.2196044921875, 3034.4404296875)"
"(1100.785400390625, 3029.6279296875)"
"(1079.310546875, 3021.5537109375)"
"(1414.03271484375, 3013.91943359375)"
"(1190.6976318359375, 3010.343994140625)"
"(1211.7978515625, 3013.57373046875)"
"(1364.646484375, 3008.808837890625)"
"(969.0376586914062, 3008.931884765625)"
"(768.3494873046875, 3006.302978515625)"
"(989.5599365234375, 3009.75732421875)"
"(2111.080322265625, 3005.14404296875)"
"(24.497339248657227, 3001.260986328125)"
"(1341.5152587890625, 2999.957275390625)"
"(1518.3885498046875, 3000.38671875)"
"(897.2766723632812, 2996.25537109375)"
"(727.8021240234375, 2996.058349609375)"
"(1495.2935791015625, 2990.451904296875)"
"(1473.396484375, 2986.93115234375)"
"(497.9103088378906, 2986.2451171875)"
"(870.868896484375, 2988.430419921875)"
"(685.3833618164062, 2986.115234375)"
"(1064.3524169921875, 2982.413330078125)"
"(1448.7615966796875, 2982.466552734375)"
"(1014.7681884765625, 2978.616943359375)"
"(1219.5133056640625, 2974.314453125)"
"(1195.68603515625, 2971.318359375)"
"(946.9822998046875, 2970.87548828125)"
"(1550.74755859375, 2967.726318359375)"
"(1376.8623046875, 2956.88623046875)"
"(1173.43701171875, 2968.9345703125)"
"(782.263427734375, 2967.32177734375)"
"(44.63225173950195, 2966.575927734375)"
"(924.8824462890625, 2965.443359375)"
"(800.287841796875, 2967.688720703125)"
"(755.3411865234375, 2961.46435546875)"
"(562.3591918945312, 2960.25732421875)"
"(1146.7509765625, 2959.29931640625)"
"(1500.8009033203125, 2957.539794921875)"
"(733.2703857421875, 2956.64501953125)"
"(710.554443359375, 2950.910400390625)"
"(1301.38134765625, 2950.68212890625)"
"(1278.6094970703125, 2947.160400390625)"
"(687.4358520507812, 2943.409423828125)"
"(1023.404296875, 2943.106201171875)"
"(658.1801147460938, 2940.843994140625)"
"(830.64599609375, 2941.0234375)"
"(1184.114501953125, 2932.447998046875)"
"(636.4822998046875, 2931.83203125)"
"(1556.44921875, 2927.77099609375)"
"(907.8843383789062, 2925.660400390625)"
"(713.3202514648438, 2919.437744140625)"
"(1508.7161865234375, 2913.748779296875)"
"(1306.6690673828125, 2915.20654296875)"
"(882.5702514648438, 2913.54150390625)"
"(861.2603759765625, 2907.93701171875)"
"(1032.7239990234375, 2907.81103515625)"
"(1259.717041015625, 2905.99072265625)"
"(1085.0289306640625, 2908.8203125)"
"(836.3596801757812, 2903.973388671875)"
"(1439.3873291015625, 2901.541015625)"
"(812.6826782226562, 2898.76904296875)"
"(1236.009765625, 2899.630615234375)"
"(1217.943115234375, 2894.883544921875)"
"(2080.50537109375, 2894.903076171875)"
"(1973.1630859375, 2891.931884765625)"
"(1569.1956787109375, 2894.18017578125)"
"(1414.8106689453125, 2894.826416015625)"
"(1186.3448486328125, 2894.359130859375)"
"(467.60296630859375, 2892.74560546875)"
"(960.9002685546875, 2891.0986328125)"
"(939.9479370117188, 2887.677001953125)"
"(450.29339599609375, 2885.642822265625)"
"(1162.8909912109375, 2889.8369140625)"
"(1115.0682373046875, 2882.1162109375)"
"(747.3983764648438, 2880.97314453125)"
"(594.4151611328125, 2884.638427734375)"
"(1370.3199462890625, 2881.349853515625)"
"(572.65380859375, 2879.503173828125)"
"(1090.658447265625, 2880.156494140625)"
"(893.4228515625, 2876.79736328125)"
"(382.63958740234375, 2877.287109375)"
"(1319.2764892578125, 2874.659423828125)"
"(1495.1300048828125, 2873.331787109375)"
"(1042.87744140625, 2875.69482421875)"
"(868.1634521484375, 2871.98974609375)"
"(699.9172973632812, 2870.9580078125)"
"(330.9071350097656, 2870.93994140625)"
"(1469.97607421875, 2865.62548828125)"
"(845.9004516601562, 2868.3701171875)"
"(519.6107177734375, 2867.530029296875)"
"(1271.79296875, 2866.458740234375)"
"(3379.7734375, 2865.497802734375)"
