keypoints
"(2324.435302734375, 3629.385498046875)"
"(2356.1640625, 3371.006591796875)"
"(2364.490478515625, 3310.569580078125)"
"(2371.941650390625, 3257.39892578125)"
"(2396.30078125, 3136.75537109375)"
"(2412.731201171875, 3062.849365234375)"
"(2427.269775390625, 2996.5634765625)"
"(2452.81103515625, 2886.622314453125)"
"(2108.818115234375, 2850.343505859375)"
"(2500.16015625, 2672.66650390625)"
"(2164.818115234375, 2658.343505859375)"
"(2507.0556640625, 2646.466552734375)"
"(2508.15380859375, 2636.076904296875)"
"(2515.933349609375, 2599.35546875)"
"(2532.1201171875, 2528.61328125)"
"(2220.60009765625, 2467.117919921875)"
"(5986.25244140625, 2349.3232421875)"
"(5958.52490234375, 2339.316650390625)"
"(5934.7080078125, 2333.653564453125)"
"(5734.4541015625, 2275.2978515625)"
"(5646.3564453125, 2259.81005859375)"
"(5562.44287109375, 2244.32275390625)"
"(5500.45556640625, 2235.793212890625)"
"(5462.5791015625, 2226.74560546875)"
"(5418.25390625, 2221.339111328125)"
"(2675.55224609375, 2206.17138671875)"
"(5262.57666015625, 2195.306396484375)"
"(5208.1826171875, 2186.82373046875)"
"(5162.7666015625, 2180.14453125)"
"(5018.77099609375, 2164.154052734375)"
"(2821.679443359375, 2156.77490234375)"
"(4866.25244140625, 2149.3232421875)"
"(2863.759521484375, 2147.3388671875)"
"(4786.7666015625, 2140.14453125)"
"(2910.8173828125, 2138.82373046875)"
"(5440.84814453125, 1468.30517578125)"
"(5293.36328125, 1450.263427734375)"
"(5092.5771484375, 1425.4481201171875)"
"(4704.794921875, 1378.49609375)"
"(4657.7451171875, 1371.5784912109375)"
"(4572.2333984375, 1362.8555908203125)"
"(4328.76171875, 1332.013916015625)"
"(4313.693359375, 1330.69384765625)"
"(4266.3486328125, 1324.6514892578125)"
"(4079.07666015625, 1299.5205078125)"
"(3820.2333984375, 1266.8555908203125)"
"(3777.7451171875, 1259.5784912109375)"
"(3759.209228515625, 1258.1591796875)"
"(3594.814697265625, 1232.3692626953125)"
"(3230.55712890625, 1188.031005859375)"
"(3156.2333984375, 1178.8555908203125)"
"(3108.4443359375, 1171.456787109375)"
"(2450.84521484375, 1076.07666015625)"
"(3116.1201171875, 568.6133422851562)"
"(3139.269775390625, 468.5635070800781)"
"(2426.015625, 468.7781677246094)"
"(3164.50341796875, 365.83673095703125)"
"(3217.918701171875, 248.7154541015625)"
"(5213.2548828125, 203.2941131591797)"
"(4981.2548828125, 179.2941131591797)"
"(3252.736328125, 173.44186401367188)"
"(4749.2548828125, 155.2941131591797)"
"(2396.963623046875, 433.8568420410156)"
"(2393.558837890625, 401.1597595214844)"
"(5215.173828125, 215.13429260253906)"
"(2387.64111328125, 501.7109375)"
"(2381.38232421875, 440.65838623046875)"
"(2408.49169921875, 422.69573974609375)"
"(2400.03857421875, 526.5429077148438)"
"(2395.177978515625, 388.0935974121094)"
"(1863.1282958984375, 3616.1845703125)"
"(2383.029541015625, 418.39715576171875)"
"(2398.60205078125, 636.1649780273438)"
"(2402.740234375, 434.043212890625)"
"(2403.54248046875, 317.9677429199219)"
"(5235.28955078125, 214.59622192382812)"
"(2377.84375, 517.3954467773438)"
"(2394.58056640625, 372.48883056640625)"
"(2321.821044921875, 794.6102905273438)"
"(2367.46826171875, 585.5634155273438)"
"(2378.531982421875, 502.9505615234375)"
"(2377.422119140625, 444.4014892578125)"
"(2362.606201171875, 554.4412841796875)"
"(2404.269287109375, 512.6649169921875)"
"(2411.970458984375, 378.1129150390625)"
"(2417.238037109375, 363.1258239746094)"
"(5203.349609375, 219.03839111328125)"
"(2390.95751953125, 445.19879150390625)"
"(2391.333251953125, 657.2119750976562)"
"(2388.962158203125, 533.5403442382812)"
"(2401.15869140625, 416.60931396484375)"
"(2359.116455078125, 757.5049438476562)"
"(2410.539306640625, 253.75543212890625)"
"(5580.66650390625, 1484.0888671875)"
"(2332.826904296875, 823.9068603515625)"
"(2353.663818359375, 770.6267700195312)"
"(2364.6103515625, 743.61669921875)"
"(2366.5537109375, 521.1629028320312)"
"(2324.89794921875, 845.5245361328125)"
"(2384.444580078125, 666.8286743164062)"
"(2389.236083984375, 617.683837890625)"
"(2416.54052734375, 443.60693359375)"
"(2411.15673828125, 295.2480773925781)"
"(1866.973876953125, 3646.528564453125)"
"(2326.760986328125, 834.1156616210938)"
"(2337.134765625, 700.595703125)"
"(2419.345703125, 630.5704345703125)"
"(2404.756103515625, 301.9772033691406)"
"(1846.0635986328125, 3711.996826171875)"
"(2327.907470703125, 763.5394897460938)"
"(2386.3017578125, 673.2138061523438)"
"(2395.926025390625, 648.3179931640625)"
"(2362.34375, 570.4640502929688)"
"(2370.13330078125, 515.4229736328125)"
"(2417.390380859375, 453.7640686035156)"
"(2414.21826171875, 398.0623474121094)"
"(2408.746337890625, 384.91619873046875)"
"(1869.64404296875, 3563.120849609375)"
"(1879.8599853515625, 3557.839599609375)"
"(2377.84423828125, 723.964599609375)"
"(2411.982177734375, 686.512451171875)"
"(2392.157958984375, 670.41552734375)"
"(2411.37109375, 515.4600219726562)"
"(2405.2744140625, 371.18487548828125)"
"(1848.7315673828125, 3725.937744140625)"
"(2321.67626953125, 960.2024536132812)"
"(2320.890625, 768.8339233398438)"
"(2383.31689453125, 476.9869384765625)"
"(1847.573486328125, 3659.021240234375)"
"(2395.216064453125, 700.9103393554688)"
"(2356.1025390625, 683.9693603515625)"
"(2400.92333984375, 615.6143798828125)"
