keypoints
"(1144.467041015625, 3990.01318359375)"
"(249.08364868164062, 3990.279296875)"
"(46.24631118774414, 3985.21484375)"
"(1268.7667236328125, 3987.960693359375)"
"(3360.020751953125, 3984.71435546875)"
"(653.9835815429688, 3984.776611328125)"
"(512.0518188476562, 3983.94775390625)"
"(113.49095153808594, 3979.255615234375)"
"(137.71273803710938, 3979.593994140625)"
"(492.18499755859375, 3976.2724609375)"
"(3314.73046875, 3975.8310546875)"
"(1226.9569091796875, 3973.945556640625)"
"(1105.2991943359375, 3974.563720703125)"
"(321.9166259765625, 3982.797119140625)"
"(125.60047912597656, 3971.02294921875)"
"(1054.5989990234375, 3966.89501953125)"
"(1076.6893310546875, 3969.869140625)"
"(588.9969482421875, 3965.463134765625)"
"(3799.704345703125, 3965.10546875)"
"(246.42845153808594, 3962.990966796875)"
"(415.61669921875, 3965.52294921875)"
"(1202.1024169921875, 3967.139404296875)"
"(1026.6241455078125, 3962.223876953125)"
"(387.8531188964844, 3962.55615234375)"
"(1036.9637451171875, 3956.98193359375)"
"(104.03237915039062, 3956.181396484375)"
"(1175.684326171875, 3959.77294921875)"
"(1150.451416015625, 3955.730224609375)"
"(212.9033660888672, 3958.6904296875)"
"(3761.05908203125, 3954.791015625)"
"(1398.531005859375, 3951.3291015625)"
"(635.1549682617188, 3950.662109375)"
"(3720.81103515625, 3949.24560546875)"
"(45.18607711791992, 3945.00439453125)"
"(27.54397201538086, 3953.813232421875)"
"(3446.60009765625, 3949.09521484375)"
"(1128.6324462890625, 3945.6875)"
"(204.73023986816406, 3944.763671875)"
"(1772.7401123046875, 3942.01220703125)"
"(3366.943359375, 3935.163330078125)"
"(472.8983154296875, 3940.28369140625)"
"(1085.1689453125, 3936.547607421875)"
"(3647.510498046875, 3932.94140625)"
"(594.834228515625, 3930.522705078125)"
"(77.35712432861328, 3930.628173828125)"
"(1061.337646484375, 3929.7724609375)"
"(576.1078491210938, 3926.8251953125)"
"(3610.842529296875, 3927.298828125)"
"(3487.962890625, 3926.6875)"
"(90.33543395996094, 3926.26025390625)"
"(282.30218505859375, 3925.476318359375)"
"(1035.2701416015625, 3922.294921875)"
"(867.7276000976562, 3921.886474609375)"
"(3691.723876953125, 3918.746826171875)"
"(549.2316284179688, 3921.992431640625)"
"(1219.2926025390625, 3916.03759765625)"
"(848.1143188476562, 3913.81005859375)"
"(3415.701416015625, 3913.01416015625)"
"(2700.55029296875, 3913.55810546875)"
"(29.241239547729492, 3911.2880859375)"
"(379.77166748046875, 3913.255615234375)"
"(800.5794067382812, 3905.173095703125)"
"(357.43414306640625, 3907.38037109375)"
"(1444.484619140625, 3904.401123046875)"
"(507.16925048828125, 3907.32666015625)"
"(329.0819091796875, 3900.587890625)"
"(604.792724609375, 3897.805908203125)"
"(783.5880126953125, 3895.9384765625)"
"(577.8131103515625, 3891.992431640625)"
"(3819.192626953125, 3886.822021484375)"
"(384.93841552734375, 3892.57568359375)"
