keypoints
"(1739.066650390625, 3983.64453125)"
"(4240.06689453125, 3877.4013671875)"
"(4221.21337890625, 3875.77734375)"
"(4230.64453125, 3880.297119140625)"
"(4058.341796875, 3852.046630859375)"
"(3800.265625, 3821.135498046875)"
"(1779.066650390625, 3815.64453125)"
"(3630.268310546875, 3796.50390625)"
"(3448.419921875, 3773.411865234375)"
"(3430.966796875, 3773.78271484375)"
"(5772.51708984375, 3768.0693359375)"
"(3386.7666015625, 3764.14453125)"
"(3315.120361328125, 3755.828857421875)"
"(3050.795166015625, 3724.593505859375)"
"(5359.7177734375, 3712.269775390625)"
"(2914.773193359375, 3711.5771484375)"
"(5156.8603515625, 3681.6455078125)"
"(5061.00732421875, 3666.391845703125)"
"(4958.9443359375, 3652.122314453125)"
"(1818.781005859375, 3647.44970703125)"
"(4908.8095703125, 3641.29541015625)"
"(4626.3486328125, 3596.552978515625)"
"(4416.4208984375, 3564.25439453125)"
"(4362.2578125, 3552.791015625)"
"(4212.74755859375, 3529.6767578125)"
"(4120.3916015625, 3510.549560546875)"
"(4017.094970703125, 3497.629150390625)"
"(3964.76171875, 3489.306884765625)"
"(1859.0152587890625, 3479.6787109375)"
"(3683.095947265625, 3441.86279296875)"
"(3472.254150390625, 3411.749755859375)"
"(3420.2333984375, 3402.85546875)"
"(3268.74755859375, 3377.6767578125)"
"(3171.86376953125, 3360.35693359375)"
"(3070.9443359375, 3348.122314453125)"
"(3020.74755859375, 3337.6767578125)"
"(1898.94580078125, 3311.7236328125)"
"(2739.0732421875, 3290.634521484375)"
"(1939.066650390625, 3143.64453125)"
"(1979.066650390625, 2975.64453125)"
"(2019.066650390625, 2807.64453125)"
"(2043.149658203125, 2691.574951171875)"
"(5985.7392578125, 2493.021240234375)"
"(5830.5791015625, 2466.74560546875)"
"(5784.0556640625, 2458.877685546875)"
"(5677.20556640625, 2444.113037109375)"
"(5579.3232421875, 2430.371826171875)"
"(5425.96142578125, 2406.83349609375)"
"(2810.705322265625, 2404.8955078125)"
"(5378.26708984375, 2397.69775390625)"
"(5318.57666015625, 2387.306396484375)"
"(5274.998046875, 2380.445556640625)"
"(5261.21240234375, 2378.916259765625)"
"(5226.20849609375, 2373.3994140625)"
"(2098.84619140625, 2370.923095703125)"
"(5830.24951171875, 2339.871826171875)"
"(5758.9443359375, 2332.122314453125)"
"(5652.1259765625, 2313.1669921875)"
"(4767.84228515625, 2301.752685546875)"
"(5444.2333984375, 2282.85546875)"
"(4662.59765625, 2284.591064453125)"
"(5288.4208984375, 2260.25439453125)"
"(4510.5791015625, 2258.74560546875)"
"(5182.81103515625, 2242.788818359375)"
"(2123.22705078125, 2229.503662109375)"
"(4140.953125, 2221.43212890625)"
"(4090.30126953125, 2213.39208984375)"
"(4010.7666015625, 2204.14453125)"
"(4862.96044921875, 2191.661376953125)"
"(2956.2333984375, 2196.14453125)"
