keypoints
"(1226.3701171875, 3991.923583984375)"
"(1010.987060546875, 3990.876708984375)"
"(521.3057250976562, 3966.188232421875)"
"(133.49559020996094, 3970.218994140625)"
"(112.19154357910156, 3970.38671875)"
"(1126.9840087890625, 3967.12939453125)"
"(713.8824462890625, 3962.65673828125)"
"(274.98577880859375, 3961.334228515625)"
"(61.53800582885742, 3960.961669921875)"
"(1099.228271484375, 3960.23486328125)"
"(689.51611328125, 3960.098388671875)"
"(1080.0728759765625, 3957.76025390625)"
"(844.7719116210938, 3955.376708984375)"
"(430.4866027832031, 3952.699951171875)"
"(1258.2769775390625, 3956.106201171875)"
"(1050.229736328125, 3950.988525390625)"
"(1208.115966796875, 3947.21337890625)"
"(164.9894256591797, 3942.40869140625)"
"(380.4028625488281, 3940.616943359375)"
"(195.14642333984375, 3941.225830078125)"
"(1184.0697021484375, 3938.868896484375)"
"(951.5430297851562, 3935.341796875)"
"(357.3743591308594, 3928.82470703125)"
"(1110.4893798828125, 3924.0625)"
"(694.5819702148438, 3922.913330078125)"
"(305.6601867675781, 3923.463134765625)"
"(1085.7613525390625, 3921.225341796875)"
"(1240.7105712890625, 3915.02978515625)"
"(413.0146789550781, 3906.702880859375)"
"(1036.4952392578125, 3906.66259765625)"
"(176.45159912109375, 3898.485595703125)"
"(982.9223022460938, 3897.61962890625)"
"(960.2426147460938, 3894.458251953125)"
"(775.28759765625, 3895.853271484375)"
"(343.3581848144531, 3891.562255859375)"
"(3980.2333984375, 3890.85546875)"
"(935.4244995117188, 3888.14013671875)"
"(1139.88037109375, 3891.15869140625)"
"(725.2122192382812, 3885.197021484375)"
"(908.7365112304688, 3882.574951171875)"
"(705.4678955078125, 3882.36376953125)"
"(1272.5107421875, 3879.134033203125)"
"(3898.348388671875, 3876.552978515625)"
"(476.3373718261719, 3876.26953125)"
"(1248.1805419921875, 3872.63720703125)"
"(1065.49365234375, 3872.94921875)"
"(624.568115234375, 3873.919677734375)"
"(1040.9791259765625, 3870.121337890625)"
"(3835.65771484375, 3863.978271484375)"
"(1221.915283203125, 3869.43359375)"
"(243.3712921142578, 3866.84423828125)"
"(600.3331909179688, 3868.149169921875)"
"(38.44131851196289, 3866.679931640625)"
"(579.6205444335938, 3863.3671875)"
"(395.7317810058594, 3861.29248046875)"
"(1173.37744140625, 3857.42578125)"
"(781.1407470703125, 3856.20263671875)"
"(134.54568481445312, 3851.879638671875)"
"(945.9867553710938, 3847.644287109375)"
"(529.5470581054688, 3850.340087890625)"
"(1121.4298095703125, 3843.810791015625)"
"(507.20709228515625, 3851.454833984375)"
"(892.8997802734375, 3842.4384765625)"
"(1098.1119384765625, 3840.665771484375)"
"(664.2662353515625, 3836.8876953125)"
"(479.10394287109375, 3841.225341796875)"
"(300.10125732421875, 3839.187744140625)"
"(301.48382568359375, 3829.5791015625)"
"(455.9801330566406, 3834.89208984375)"
"(1255.234375, 3835.753173828125)"
"(1229.0455322265625, 3830.60986328125)"
"(3604.2333984375, 3826.85546875)"
"(1027.6424560546875, 3824.012939453125)"
"(1206.7254638671875, 3823.519287109375)"
"(407.986083984375, 3824.447265625)"
"(790.5487670898438, 3818.246826171875)"
"(1181.1427001953125, 3816.355224609375)"
"(3512.421142578125, 3812.25439453125)"
"(537.63330078125, 3811.514404296875)"
"(145.69422912597656, 3812.531982421875)"
"(1136.6575927734375, 3810.6796875)"
"(1308.9866943359375, 3804.96142578125)"
"(3460.74755859375, 3801.6767578125)"
"(720.0396728515625, 3804.291259765625)"
"(1108.2354736328125, 3802.375732421875)"
"(899.1397705078125, 3798.1689453125)"
"(1282.2681884765625, 3792.29296875)"
"(643.93115234375, 3794.1953125)"
"(465.22637939453125, 3793.879638671875)"
"(856.1162109375, 3791.0498046875)"
"(620.1770629882812, 3790.10595703125)"
"(258.46978759765625, 3789.185546875)"
"(230.89114379882812, 3788.093994140625)"
"(50.17971420288086, 3790.739013671875)"
"(1234.209228515625, 3784.4482421875)"
"(568.1107788085938, 3780.832763671875)"
"(1212.11376953125, 3780.294921875)"
"(392.5698547363281, 3777.541015625)"
"(162.86590576171875, 3774.43603515625)"
"(980.5030517578125, 3772.59228515625)"
"(549.81298828125, 3772.439208984375)"
"(524.4281616210938, 3769.287353515625)"
"(135.90501403808594, 3770.405517578125)"
"(1319.2664794921875, 3770.770263671875)"
"(1292.9798583984375, 3763.579833984375)"
"(106.36101531982422, 3765.679931640625)"
"(3228.2333984375, 3762.85546875)"
"(1141.050537109375, 3761.938232421875)"
"(497.533203125, 3761.02392578125)"
"(1114.8822021484375, 3758.233642578125)"
"(700.7726440429688, 3761.65869140625)"
"(83.18707275390625, 3761.4501953125)"
"(3194.348388671875, 3756.552978515625)"
"(1271.7685546875, 3757.640869140625)"
"(475.291748046875, 3756.46142578125)"
"(677.9444580078125, 3755.4384765625)"
"(655.7821655273438, 3753.093994140625)"
"(265.9654235839844, 3750.595947265625)"
"(36.107791900634766, 3750.560302734375)"
"(3136.421142578125, 3748.25439453125)"
"(1088.4197998046875, 3749.062744140625)"
"(1218.3895263671875, 3746.25439453125)"
"(1037.3916015625, 3745.150146484375)"
"(1015.537841796875, 3742.901123046875)"
"(1195.8968505859375, 3740.153076171875)"
"(3084.403076171875, 3737.263427734375)"
"(577.063232421875, 3740.130859375)"
"(396.32281494140625, 3738.1240234375)"
"(553.9600219726562, 3735.064208984375)"
"(783.6957397460938, 3735.035400390625)"
"(1170.5029296875, 3734.777587890625)"
"(168.41864013671875, 3733.656494140625)"
"(762.2603149414062, 3733.562744140625)"
"(1147.3890380859375, 3727.533203125)"
"(531.1724243164062, 3729.58251953125)"
"(146.55848693847656, 3727.390380859375)"
"(119.712890625, 3725.73291015625)"
"(1322.9610595703125, 3728.083740234375)"
"(739.9911499023438, 3728.74169921875)"
"(351.42266845703125, 3727.53564453125)"
"(711.2490844726562, 3725.560302734375)"
"(948.5791015625, 3725.291748046875)"
"(1123.7230224609375, 3724.673828125)"
"(505.78594970703125, 3717.99755859375)"
"(912.5369262695312, 3717.313232421875)"
"(1096.082275390625, 3715.1279296875)"
"(456.56805419921875, 3713.547119140625)"
"(1224.83740234375, 3710.305908203125)"
"(1047.5469970703125, 3707.796630859375)"
"(610.745361328125, 3707.81201171875)"
