keypoints
"(297.4990234375, 3991.69287109375)"
"(2583.1884765625, 3966.1904296875)"
"(2861.755859375, 3940.929443359375)"
"(2512.93896484375, 3889.83984375)"
"(2909.52099609375, 3886.3623046875)"
"(3563.905517578125, 3886.245361328125)"
"(3159.32275390625, 3884.5859375)"
"(2558.371826171875, 3866.706298828125)"
"(3162.96630859375, 3855.184814453125)"
"(3892.35205078125, 3843.819580078125)"
"(4416.18359375, 3833.9990234375)"
"(2871.871337890625, 3817.071044921875)"
"(3586.395263671875, 3762.57421875)"
"(5909.47607421875, 3745.91650390625)"
"(3402.76416015625, 3749.77392578125)"
"(2572.14013671875, 3744.373046875)"
"(3296.86767578125, 3742.24169921875)"
"(5784.1943359375, 3701.89453125)"
"(4431.99560546875, 3703.11328125)"
"(2889.866455078125, 3694.86376953125)"
"(2562.28564453125, 3692.35986328125)"
"(2658.88134765625, 3693.38525390625)"
"(2582.080322265625, 3684.693603515625)"
"(3189.17236328125, 3670.78173828125)"
"(3387.567138671875, 3669.285400390625)"
"(2895.618408203125, 3663.17138671875)"
"(3589.694091796875, 3646.748291015625)"
"(2900.090576171875, 3631.85595703125)"
"(2589.419921875, 3624.2880859375)"
"(3633.462890625, 3619.9013671875)"
"(5340.8837890625, 3617.405517578125)"
"(2907.327880859375, 3601.458984375)"
"(2595.10888671875, 3592.052734375)"
"(4446.4892578125, 3590.968017578125)"
"(3434.66552734375, 3577.1884765625)"
"(4971.8837890625, 3572.031494140625)"
"(2912.627685546875, 3573.55029296875)"
"(5016.39599609375, 3555.65625)"
"(4245.955078125, 3555.523681640625)"
"(3198.972412109375, 3547.7578125)"
"(2487.695068359375, 3541.051513671875)"
"(3841.8076171875, 3541.246337890625)"
"(2917.405029296875, 3541.1728515625)"
"(3798.052001953125, 3534.7392578125)"
"(2837.87060546875, 3529.8994140625)"
"(4252.67333984375, 3527.46875)"
"(2759.487548828125, 3516.33203125)"
"(3804.89599609375, 3505.781494140625)"
"(5398.439453125, 3494.396484375)"
"(3887.43115234375, 3491.372802734375)"
"(3649.945068359375, 3487.0341796875)"
"(4855.25927734375, 3488.390625)"
"(2924.15185546875, 3482.34375)"
"(4611.49072265625, 3475.64892578125)"
"(4255.96337890625, 3469.5888671875)"
"(4901.55224609375, 3460.619140625)"
"(3650.84765625, 3461.284423828125)"
"(4336.31689453125, 3453.7216796875)"
"(1917.985107421875, 3446.532470703125)"
"(4902.87841796875, 3437.0107421875)"
"(5711.55517578125, 3423.17529296875)"
"(2931.54052734375, 3421.643310546875)"
"(5606.3193359375, 3414.12939453125)"
"(2895.340087890625, 3384.22509765625)"
"(2610.70458984375, 3382.275146484375)"
"(5815.93603515625, 3375.149169921875)"
"(5611.37158203125, 3342.3115234375)"
"(5907.9287109375, 3331.08984375)"
"(5908.90234375, 3304.771240234375)"
"(5909.255859375, 3282.877685546875)"
"(5867.0771484375, 3272.705810546875)"
"(3960.76708984375, 3267.08984375)"
"(5910.73095703125, 3249.463623046875)"
"(5494.53271484375, 3213.397216796875)"
"(3278.6181640625, 3213.09033203125)"
"(3595.375244140625, 3210.574951171875)"
"(3281.989990234375, 3183.357421875)"
"(5056.451171875, 3181.015869140625)"
"(5633.189453125, 3123.557373046875)"
"(5429.32763671875, 3109.6923828125)"
"(1518.757080078125, 3107.414306640625)"
"(1367.9588623046875, 3086.57666015625)"
"(2566.133056640625, 3083.4208984375)"
"(1317.2591552734375, 3079.80224609375)"
"(1955.1029052734375, 3074.9150390625)"
"(1268.139404296875, 3072.1025390625)"
"(5473.33056640625, 3069.2060546875)"
"(4949.64892578125, 3063.669677734375)"
"(1195.6461181640625, 3062.5751953125)"
"(1172.6737060546875, 3057.174560546875)"
"(1149.8690185546875, 3051.919921875)"
"(5070.09228515625, 3047.405029296875)"
"(1093.219970703125, 3042.315673828125)"
"(4910.3857421875, 3034.929931640625)"
"(1297.564453125, 3034.337890625)"
"(1046.755126953125, 3029.062255859375)"
"(1509.239501953125, 3030.541015625)"
"(1478.085205078125, 3028.50048828125)"
"(4871.4384765625, 3028.6376953125)"
"(971.96533203125, 3023.899169921875)"
"(953.3956909179688, 3020.33203125)"
"(5397.671875, 3019.440673828125)"
"(1125.900390625, 3017.49853515625)"
"(2683.11669921875, 3010.990478515625)"
"(930.9034423828125, 3012.576171875)"
"(1379.427734375, 3010.121826171875)"
"(904.5079956054688, 3011.005126953125)"
"(878.8131713867188, 3010.611572265625)"
"(855.5509643554688, 3005.35498046875)"
"(3101.44482421875, 3001.818603515625)"
"(1098.4459228515625, 3002.083984375)"
"(1071.2230224609375, 3000.173828125)"
"(1278.504150390625, 2995.255126953125)"
"(1302.694580078125, 2998.780517578125)"
"(1253.3291015625, 2995.517822265625)"
"(1006.836181640625, 2995.4228515625)"
"(3267.111572265625, 2991.6845703125)"
"(1509.6763916015625, 2990.95556640625)"
"(2982.41162109375, 2990.806640625)"
"(1229.9547119140625, 2985.629150390625)"
"(955.4027099609375, 2986.830078125)"
"(757.4241943359375, 2976.4013671875)"
"(1159.7467041015625, 2981.705810546875)"
"(938.723388671875, 2980.02294921875)"
"(735.9002685546875, 2979.304931640625)"
"(1435.8895263671875, 2977.2939453125)"
"(1409.287353515625, 2979.151123046875)"
"(708.5155029296875, 2975.5166015625)"
"(863.486572265625, 2970.935791015625)"
"(1385.48681640625, 2972.8662109375)"
"(1131.863037109375, 2973.609619140625)"
"(1332.9500732421875, 2968.436279296875)"
"(1108.5318603515625, 2967.39501953125)"
"(1313.1943359375, 2964.150390625)"
"(834.3783569335938, 2964.317138671875)"
"(637.0670166015625, 2962.49462890625)"
"(1285.64013671875, 2958.878662109375)"
"(1262.574951171875, 2956.23681640625)"
"(814.8740844726562, 2954.186279296875)"
"(590.07958984375, 2954.53662109375)"
"(1537.375, 2954.179443359375)"
"(1011.7444458007812, 2953.04736328125)"
"(564.34375, 2952.611083984375)"
"(1513.6146240234375, 2952.24365234375)"
"(1241.7069091796875, 2949.242431640625)"
"(988.9163818359375, 2947.1494140625)"
"(1212.3004150390625, 2949.02978515625)"
"(542.4189453125, 2946.46533203125)"
"(1439.36328125, 2943.867919921875)"
"(740.439208984375, 2943.665771484375)"
"(5817.51806640625, 2940.44873046875)"
"(1415.5804443359375, 2940.803955078125)"
