keypoints,label
"(1268.0596923828125, 3988.796630859375)",0
"(653.2078857421875, 3985.235595703125)",0
"(881.2386474609375, 3961.849609375)",0
"(1174.80029296875, 3960.2685546875)",0
"(1391.0341796875, 3958.03271484375)",0
"(1772.5439453125, 3943.175048828125)",0
"(866.187744140625, 3923.25830078125)",0
"(1388.5601806640625, 3918.863525390625)",0
"(376.50054931640625, 3914.611083984375)",0
"(2702.388427734375, 3912.212158203125)",9
"(1330.9052734375, 3910.1240234375)",0
"(1442.419189453125, 3905.288330078125)",0
"(601.8746337890625, 3898.8251953125)",0
"(427.6092834472656, 3894.9453125)",0
"(1368.227294921875, 3878.94921875)",0
"(485.2604675292969, 3867.818115234375)",0
"(519.4093627929688, 3839.35546875)",0
"(661.5347900390625, 3836.484619140625)",0
"(1347.99951171875, 3835.121337890625)",0
"(639.4812622070312, 3830.2275390625)",0
"(615.4988403320312, 3822.730712890625)",0
"(423.1084899902344, 3816.798828125)",0
"(591.453125, 3817.826904296875)",0
"(543.4381103515625, 3816.91796875)",0
"(1891.02880859375, 3815.242919921875)",0
"(521.1296997070312, 3814.55126953125)",0
"(332.95989990234375, 3791.427734375)",0
"(1207.9095458984375, 3790.0126953125)",0
"(1469.9271240234375, 3791.240478515625)",0
"(451.6743469238281, 3788.4189453125)",0
"(1044.2591552734375, 3787.28662109375)",0
"(1435.208984375, 3778.5703125)",0
"(1320.13525390625, 3775.702392578125)",0
"(362.8837890625, 3763.8994140625)",0
"(5901.078125, 3743.465087890625)",0
"(5882.01025390625, 3737.694091796875)",0
"(1114.026123046875, 3735.2724609375)",0
"(5836.203125, 3732.871826171875)",0
"(5866.81787109375, 3725.4013671875)",0
"(1907.269287109375, 3725.8076171875)",0
"(1674.3216552734375, 3724.375244140625)",0
"(5831.919921875, 3719.85400390625)",0
"(1534.9189453125, 3714.124755859375)",0
"(863.4110107421875, 3706.463134765625)",0
"(1511.496826171875, 3704.868896484375)",0
"(5751.1875, 3699.1298828125)",0
"(1346.5, 3688.683349609375)",0
"(5709.31982421875, 3686.919189453125)",0
"(1448.9171142578125, 3682.922119140625)",0
"(5910.72314453125, 3674.402587890625)",0
"(1501.238037109375, 3677.844970703125)",0
"(5739.78369140625, 3671.822265625)",0
"(5865.53466796875, 3673.204345703125)",0
"(1511.998291015625, 3670.168212890625)",0
"(1916.2713623046875, 3671.3876953125)",0
"(5963.6201171875, 3662.55908203125)",11
"(5532.71142578125, 3659.09130859375)",0
"(5934.6689453125, 3641.880859375)",11
"(1923.269287109375, 3637.8076171875)",0
"(5466.7685546875, 3620.07666015625)",0
"(5232.04541015625, 3606.82275390625)",0
"(1256.9461669921875, 3599.325439453125)",0
"(2699.92138671875, 3601.3330078125)",0
"(1932.2713623046875, 3583.3876953125)",0
"(1371.233642578125, 3576.6435546875)",0
"(1522.863525390625, 3568.5908203125)",0
"(1258.55322265625, 3557.05322265625)",0
"(1487.0025634765625, 3555.662841796875)",0
"(4482.17626953125, 3542.3935546875)",0
"(5510.171875, 3527.234375)",12
"(1268.3734130859375, 3518.687255859375)",0
"(5142.8583984375, 3494.215087890625)",12
"(1279.904296875, 3479.7587890625)",0
"(3808.80712890625, 3475.587158203125)",9
"(1555.6622314453125, 3455.103515625)",0
"(1288.587158203125, 3447.198486328125)",0
"(2731.304443359375, 3428.430908203125)",0
"(4131.84033203125, 3422.985595703125)",0
"(4160.86328125, 3425.893798828125)",0
"(1744.056884765625, 3415.792724609375)",0
"(4049.458740234375, 3392.974365234375)",0
"(4755.95166015625, 3380.3876953125)",12
"(4096.65283203125, 3367.502685546875)",0
"(3926.378662109375, 3368.118896484375)",0
"(3866.581298828125, 3336.90380859375)",0
"(4386.12451171875, 3331.90380859375)",0
"(3595.261962890625, 3333.205078125)",0
"(4199.224609375, 3326.80859375)",0
"(1979.360107421875, 3331.8154296875)",0
"(4229.82861328125, 3325.316162109375)",0
"(3691.4609375, 3324.329833984375)",0
"(3904.638671875, 3315.0185546875)",0
"(3882.67724609375, 3315.377685546875)",0
"(4060.8447265625, 3301.323974609375)",0
"(3596.013671875, 3304.124267578125)",0
"(4065.470947265625, 3295.802001953125)",0
"(3287.453369140625, 3297.785400390625)",0
"(3121.0947265625, 3289.323974609375)",0
"(3131.23974609375, 3281.76904296875)",0
"(2787.4130859375, 3268.661376953125)",0
"(3847.9267578125, 3267.532470703125)",0
"(3832.909912109375, 3261.659912109375)",0
"(1509.455322265625, 3251.810302734375)",0
"(1993.3289794921875, 3243.971923828125)",0
"(1460.0989990234375, 3239.7705078125)",0
